iter	Passed	Remaining
746	16499	5588
747	16526	5567
748	16556	5548
749	16584	5528
750	16612	5508
751	16642	5488
752	16666	5466
753	16692	5445
754	16725	5427
755	16748	5405
756	16769	5383
757	16790	5360
758	16812	5338
759	16833	5315
760	16854	5293
761	16877	5271
762	16901	5249
763	16922	5227
764	16943	5204
765	16964	5182
766	16986	5160
767	17007	5137
768	17028	5115
769	17050	5093
770	17072	5070
771	17093	5048
772	17119	5027
773	17142	5005
774	17164	4983
775	17187	4961
776	17210	4939
777	17231	4916
778	17253	4894
779	17276	4872
780	17299	4851
781	17326	4830
782	17347	4807
783	17368	4785
784	17388	4762
785	17411	4740
786	17433	4718
787	17455	4696
788	17477	4674
789	17499	4651
790	17525	4630
791	17546	4608
792	17567	4585
793	17587	4563
794	17608	4540
795	17629	4518
796	17649	4495
797	17669	4472
798	17689	4450
799	17713	4428
800	17743	4408
801	17771	4387
802	17797	4366
803	17828	4346
804	17855	4325
805	17880	4303
806	17910	4283
807	17939	4262
808	17964	4241
809	17997	4221
810	18024	4200
811	18057	4180
812	18091	4161
813	18125	4141
814	18156	4121
815	18186	4100
816	18211	4079
817	18240	4058
818	18268	4037
819	18292	4015
820	18322	3994
821	18343	3972
822	18365	3949
823	18386	3927
824	18412	3905
825	18433	3883
826	18457	3861
827	18477	3838
828	18498	3815
829	18519	3793
830	18540	3770
831	18563	3748
832	18583	3725
833	18604	3702
834	18629	3681
835	18651	3658
836	18678	3637
837	18699	3614
838	18719	3592
839	18741	3569
840	18763	3547
841	18788	3525
842	18810	3503
843	18831	3480
844	18854	3458
845	18879	3436
846	18900	3414
847	18920	3391
848	18941	3368
849	18961	3346
850	18982	3323
851	19002	3300
852	19022	3278
853	19042	3255
854	19063	3232
855	19090	3211
856	19109	3188
857	19131	3166
858	19151	3143
859	19172	3121
860	19196	3099
861	19217	3076
862	19238	3054
863	19259	3031
864	19285	3009
865	19310	2988
866	19332	2965
867	19354	2943
868	19374	2920
869	19394	2898
870	19414	2875
871	19435	2852
872	19455	2830
873	19475	2807
874	19502	2786
875	19527	2764
876	19549	2741
877	19570	2719
878	19590	2696
879	19610	2674
880	19630	2651
881	19651	2629
882	19671	2606
883	19691	2583
884	19713	2561
885	19742	2540
886	19766	2518
887	19788	2495
888	19808	2473
889	19827	2450
890	19850	2428
891	19871	2405
892	19891	2383
893	19911	2360
894	19940	2339
895	19964	2317
896	19985	2294
897	20006	2272
898	20026	2249
899	20046	2227
900	20067	2204
901	20089	2182
902	20115	2160
903	20137	2138
904	20166	2116
905	20190	2094
906	20210	2072
907	20230	2049
908	20250	2027
909	20273	2005
910	20293	1982
911	20313	1960
912	20333	1937
913	20354	1915
914	20377	1892
915	20404	1871
916	20426	1848
917	20447	1826
918	20467	1804
919	20489	1781
920	20508	1759
921	20529	1736
922	20550	1714
923	20570	1691
924	20599	1670
925	20622	1648
926	20642	1625
927	20663	1603
928	20684	1580
929	20705	1558
930	20726	1536
931	20746	1513
932	20767	1491
933	20790	1469
934	20813	1446
935	20837	1424
936	20859	1402
937	20883	1380
938	20905	1358
939	20925	1335
940	20945	1313
941	20966	1290
942	20988	1268
943	21014	1246
944	21038	1224
945	21062	1202
946	21083	1179
947	21106	1157
948	21126	1135
949	21146	1112
950	21166	1090
951	21187	1068
952	21209	1046
953	21229	1023
954	21250	1001
955	21276	979
956	21296	956
957	21317	934
958	21337	912
959	21357	889
960	21377	867
961	21398	845
962	21419	822
963	21439	800
964	21469	778
965	21491	756
966	21515	734
967	21535	711
968	21554	689
969	21575	667
970	21595	644
971	21615	622
972	21637	600
973	21657	578
974	21678	555
975	21704	533
976	21725	511
977	21746	489
978	21766	466
979	21787	444
980	21808	422
981	21828	400
982	21850	377
983	21869	355
984	21892	333
985	21915	311
986	21938	288
987	21958	266
988	21978	244
989	21998	222
990	22017	199
991	22037	177
992	22059	155
993	22079	133
994	22104	111
995	22131	88
996	22153	66
997	22175	44
998	22201	22
999	22232	0
